doctor_id,display_name,first_name,last_name,specialty,sub_specialty,credential,primary_department_id,hospital_id,employment_type,fte,hire_date,is_active,update_ts
DR00039,Dr. Pedro Miller,Pedro,Miller,Orthopaedics,Paediatric,MD CCFP,H002-D04,H002,Staff,1.0,2017-08-29,1,2024-01-01 04:00:00
DR00040,Dr. Thomas Gonzalez,Thomas,Gonzalez,Respirology,Surgical,MD FRCPC,H003-D09,H003,Staff,1.0,2007-08-04,1,2024-01-01 04:00:00
DR00041,Dr. Ahmed Lewis,Ahmed,Lewis,Obstetrics,Paediatric,MD FRCSC,H001-D05,H001,Staff,0.8,2021-09-22,1,2024-01-01 04:00:00
DR00042,Dr. George Tran,George,Tran,Anaesthesiology,Interventional,MD FRCPC,H001-D05,H001,Staff,0.8,2018-10-15,1,2024-01-01 04:00:00
DR00043,Dr. Aisha Thompson,Aisha,Thompson,Emergency Medicine,,MD,H002-D09,H002,Staff,0.6,2009-07-04,1,2024-01-01 04:00:00
DR00044,Dr. Claire Khan,Claire,Khan,Cardiology,Interventional,MD FRCPC,H003-D01,H003,Staff,0.5,2018-07-01,1,2024-01-01 04:00:00
DR00045,Dr. David Mitchell,David,Mitchell,Cardiology,,MD FRCPC,H003-D01,H003,Locum,0.6,2021-04-18,1,2024-01-01 04:00:00
DR00046,Dr. Jennifer Kumar,Jennifer,Kumar,Cardiology,Surgical,MD,H002-D01,H002,Staff,0.6,2004-04-22,1,2024-01-01 04:00:00
DR00047,Dr. Sarah Mitchell,Sarah,Mitchell,Neurology,,MD CCFP,H002-D08,H002,Locum,0.6,2022-03-22,1,2024-01-01 04:00:00
DR00048,Dr. Sofia Rodriguez,Sofia,Rodriguez,Paediatrics,Paediatric,MD,H002-D06,H002,Staff,1.0,2008-04-17,1,2024-01-01 04:00:00
DR00049,Dr. Linda Brown,Linda,Brown,Neurology,Paediatric,MD,H003-D08,H003,Resident,1.0,2021-02-21,1,2024-01-01 04:00:00
DR00050,Dr. William Ali,William,Ali,Neurology,,MD FRCPC,H001-D08,H001,Staff,1.0,2016-09-05,1,2024-01-01 04:00:00
DR00051,Dr. Sarah Williams,Sarah,Williams,Obstetrics,Interventional,MD FRCPC,H003-D05,H003,Staff,0.8,2017-09-30,1,2024-01-01 04:00:00
DR00052,Dr. Ahmed Ricci,Ahmed,Ricci,Orthopaedics,,MD CCFP,H002-D04,H002,Staff,1.0,2020-11-09,1,2024-01-01 04:00:00
DR00053,Dr. Sarah Stewart,Sarah,Stewart,Obstetrics,Interventional,MD FRCSC,H003-D05,H003,Resident,0.6,2015-05-17,1,2024-01-01 04:00:00
DR00054,Dr. Lisa Wang,Lisa,Wang,Anaesthesiology,Interventional,MD FRCSC,H003-D07,H003,Staff,1.0,2006-04-15,1,2024-01-01 04:00:00
DR00055,Dr. Yusuf Robinson,Yusuf,Robinson,Anaesthesiology,,MD CCFP,H003-D09,H003,Resident,0.5,2011-08-01,1,2024-01-01 04:00:00
DR00056,Dr. Joshua Thompson,Joshua,Thompson,Emergency Medicine,,MD,H002-D08,H002,Staff,0.8,2021-12-23,1,2024-01-01 04:00:00
DR00057,Dr. Sarah Li,Sarah,Li,Respirology,Surgical,MD,H001-D09,H001,Staff,0.8,2022-10-13,1,2024-01-01 04:00:00
DR00058,Dr. Amara MacDonald,Amara,MacDonald,Emergency Medicine,,MD FRCPC,H002-D08,H002,Staff,0.6,2020-05-02,1,2024-01-01 04:00:00
DR00059,Dr. Mary Garcia,Mary,Garcia,Physiatry,Paediatric,MD CCFP,H003-D11,H003,Staff,1.0,2004-05-15,1,2024-01-01 04:00:00
DR00060,Dr. Betty Young,Betty,Young,Emergency Medicine,,MD FRCSC,H003-D08,H003,Resident,0.8,2020-09-11,1,2024-01-01 04:00:00
DR00061,Dr. Amanda Tran,Amanda,Tran,Anaesthesiology,Paediatric,MD,H003-D03,H003,Staff,0.5,2003-07-06,1,2024-01-01 04:00:00
DR00062,Dr. Steven Mitchell,Steven,Mitchell,Respirology,,MD FRCSC,H003-D09,H003,Staff,1.0,2011-11-20,1,2024-01-01 04:00:00
DR00063,Dr. Melissa Green,Melissa,Green,Orthopaedics,Surgical,MD FRCPC,H003-D04,H003,Staff,0.8,2004-11-09,1,2024-01-01 04:00:00
DR00064,Dr. Aisha O'Brien,Aisha,O'Brien,Paediatrics,Surgical,MD CCFP,H003-D06,H003,Staff,1.0,2018-09-08,1,2024-01-01 04:00:00
DR00065,Dr. Emily Scott,Emily,Scott,Physiatry,,MD FRCPC,H003-D08,H003,Staff,0.8,2006-03-10,1,2024-01-01 04:00:00
DR00066,Dr. Priya O'Brien,Priya,O'Brien,Physiatry,,MD,H001-D07,H001,Staff,0.8,2005-10-13,1,2024-01-01 04:00:00
DR00067,Dr. Barbara Martin,Barbara,Martin,Obstetrics,Interventional,MD FRCSC,H003-D05,H003,Staff,0.5,2013-05-03,1,2024-01-01 04:00:00
DR00068,Dr. Nadia Hill,Nadia,Hill,Respirology,Paediatric,MD,H001-D09,H001,Staff,0.8,2004-11-29,1,2024-01-01 04:00:00
DR00069,Dr. Karen Tran,Karen,Tran,Orthopaedics,Interventional,MD,H003-D04,H003,Staff,0.8,2004-12-15,1,2024-01-01 04:00:00
DR00070,Dr. Amanda Gagnon,Amanda,Gagnon,Internal Medicine,Interventional,MD FRCSC,H004-D03,H004,Staff,1.0,2006-11-28,1,2024-01-01 04:00:00
DR00071,Dr. Patricia MacDonald,Patricia,MacDonald,Paediatrics,Paediatric,MD FRCSC,H002-D06,H002,Locum,0.8,2002-10-23,1,2024-01-01 04:00:00
DR00072,Dr. Anthony Williams,Anthony,Williams,Neurology,Paediatric,MD,H002-D08,H002,Staff,0.8,2005-10-12,1,2024-01-01 04:00:00
DR00073,Dr. Jessica Moore,Jessica,Moore,Respirology,Surgical,MD CCFP,H002-D09,H002,Staff,0.6,2017-08-12,1,2024-01-01 04:00:00
DR00074,Dr. Marie Hernandez,Marie,Hernandez,Oncology,,MD CCFP,H001-D07,H001,Staff,0.5,2015-10-05,1,2024-01-01 04:00:00
DR00075,Dr. Patricia Brown,Patricia,Brown,General Surgery,Surgical,MD FRCPC,H001-D02,H001,Staff,1.0,2022-08-16,1,2024-01-01 04:00:00
DR00076,Dr. Thomas Lee,Thomas,Lee,General Surgery,Interventional,MD,H002-D02,H002,Resident,0.5,2013-10-31,1,2024-01-01 04:00:00
DR00077,Dr. Kevin Moore,Kevin,Moore,Anaesthesiology,Surgical,MD,H001-D10,H001,Staff,1.0,2022-10-21,1,2024-01-01 04:00:00
DR00078,Dr. Hiroshi Johnson,Hiroshi,Johnson,Oncology,Surgical,MD CCFP,H001-D07,H001,Staff,0.6,2013-07-07,1,2024-01-01 04:00:00
DR00079,Dr. Margaret Taylor,Margaret,Taylor,Orthopaedics,,MD CCFP,H001-D04,H001,Resident,0.5,2011-08-11,1,2024-01-01 04:00:00
DR00080,Dr. Wei White,Wei,White,Internal Medicine,Surgical,MD FRCSC,H001-D03,H001,Staff,1.0,2012-11-26,1,2024-01-01 04:00:00
DR00081,Dr. Elizabeth Harris,Elizabeth,Harris,Internal Medicine,Interventional,MD,H004-D03,H004,Staff,1.0,2007-02-03,1,2024-01-01 04:00:00
DR00082,Dr. Daniel Stewart,Daniel,Stewart,Obstetrics,Interventional,MD FRCPC,H001-D05,H001,Staff,1.0,2010-08-01,1,2024-01-01 04:00:00
DR00083,Dr. Andrew Martinez,Andrew,Martinez,Obstetrics,,MD FRCPC,H003-D05,H003,Resident,0.8,2010-01-12,1,2024-01-01 04:00:00
DR00084,Dr. Lisa Carter,Lisa,Carter,Cardiology,,MD FRCPC,H001-D01,H001,Locum,1.0,2013-02-02,1,2024-01-01 04:00:00
DR00085,Dr. Jessica Hill,Jessica,Hill,Paediatrics,,MD,H001-D06,H001,Staff,0.8,2002-09-28,1,2024-01-01 04:00:00
DR00086,Dr. Amara Williams,Amara,Williams,Neurology,Surgical,MD CCFP,H001-D08,H001,Locum,1.0,2005-12-16,1,2024-01-01 04:00:00
DR00087,Dr. Thomas Tremblay,Thomas,Tremblay,Paediatrics,Surgical,MD FRCSC,H003-D06,H003,Staff,1.0,2004-01-12,1,2024-01-01 04:00:00
DR00088,Dr. Chen Robinson,Chen,Robinson,Orthopaedics,Interventional,MD FRCPC,H001-D04,H001,Staff,1.0,2012-05-19,1,2024-01-01 04:00:00
DR00089,Dr. Brian Roy,Brian,Roy,General Surgery,Surgical,MD,H002-D02,H002,Staff,0.5,2006-03-23,1,2024-01-01 04:00:00
DR00090,Dr. Ling Rodriguez,Ling,Rodriguez,Orthopaedics,Surgical,MD FRCPC,H001-D04,H001,Staff,1.0,2017-11-04,1,2024-01-01 04:00:00
DR00091,Dr. Mary Gonzalez,Mary,Gonzalez,Orthopaedics,,MD,H003-D04,H003,Staff,0.8,2017-05-13,1,2024-01-01 04:00:00
DR00092,Dr. Mary Osei,Mary,Osei,Physiatry,Paediatric,MD FRCPC,H002-D11,H002,Resident,1.0,2015-07-04,1,2024-01-01 04:00:00
DR00093,Dr. Aisha Tremblay,Aisha,Tremblay,Cardiology,Surgical,MD FRCSC,H001-D01,H001,Staff,1.0,2006-11-06,1,2024-01-01 04:00:00
DR00094,Dr. William Hill,William,Hill,General Surgery,Paediatric,MD FRCPC,H001-D02,H001,Resident,0.5,2013-08-13,1,2024-01-01 04:00:00
DR00095,Dr. George Martin,George,Martin,Paediatrics,Paediatric,MD FRCPC,H002-D06,H002,Resident,1.0,2002-09-23,1,2024-01-01 04:00:00
DR00096,Dr. Omar Okafor,Omar,Okafor,General Surgery,Interventional,MD FRCSC,H003-D02,H003,Staff,0.5,2022-02-17,1,2024-01-01 04:00:00
DR00097,Dr. Omar Zhang,Omar,Zhang,Physiatry,,MD CCFP,H003-D09,H003,Resident,0.4,2022-10-04,1,2024-01-01 04:00:00
DR00098,Dr. Marie Chen,Marie,Chen,Physiatry,Interventional,MD FRCPC,H004-D10,H004,Resident,1.0,2002-04-21,1,2024-01-01 04:00:00
DR00099,Dr. Mei Fraser,Mei,Fraser,Oncology,,MD FRCSC,H001-D07,H001,Resident,0.8,2021-07-02,1,2024-01-01 04:00:00
DR00100,Dr. Mark Li,Mark,Li,Obstetrics,,MD,H001-D05,H001,Staff,1.0,2008-12-19,1,2024-01-01 04:00:00
DR00101,Dr. Andrew Fraser,Andrew,Fraser,Respirology,Paediatric,MD FRCSC,H002-D09,H002,Staff,1.0,2012-10-20,1,2024-01-01 04:00:00
DR00102,Dr. Susan Ahmed,Susan,Ahmed,Anaesthesiology,Paediatric,MD,H002-D01,H002,Staff,1.0,2013-01-13,1,2024-01-01 04:00:00
DR00103,Dr. Zara Ross,Zara,Ross,Internal Medicine,,MD,H001-D03,H001,Staff,1.0,2005-05-01,1,2024-01-01 04:00:00
DR00104,Dr. Zara Smith,Zara,Smith,Paediatrics,Surgical,MD FRCPC,H001-D06,H001,Staff,1.0,2004-09-10,1,2024-01-01 04:00:00
DR00105,Dr. Yuki Kumar,Yuki,Kumar,Neurology,Paediatric,MD,H003-D08,H003,Resident,0.8,2012-09-28,1,2024-01-01 04:00:00
DR00106,Dr. Mark Okafor,Mark,Okafor,General Surgery,Paediatric,MD FRCPC,H001-D02,H001,Staff,0.5,2014-05-07,1,2024-01-01 04:00:00
DR00107,Dr. Chiara Williams,Chiara,Williams,General Surgery,Paediatric,MD,H001-D02,H001,Staff,1.0,2010-12-19,1,2024-01-01 04:00:00
DR00108,Dr. Chen Scott,Chen,Scott,Paediatrics,Interventional,MD CCFP,H002-D06,H002,Locum,1.0,2015-09-26,1,2024-01-01 04:00:00
DR00109,Dr. Yuki Campbell,Yuki,Campbell,Obstetrics,,MD,H002-D05,H002,Resident,1.0,2011-04-13,1,2024-01-01 04:00:00
DR00110,Dr. Ivan Singh,Ivan,Singh,Neurology,Paediatric,MD CCFP,H002-D08,H002,Locum,0.8,2008-10-27,1,2024-01-01 04:00:00
DR00111,Dr. Zara Smith,Zara,Smith,Neurology,Paediatric,MD FRCPC,H001-D08,H001,Staff,0.8,2002-07-07,1,2024-01-01 04:00:00
DR00112,Dr. Barbara Silva,Barbara,Silva,Anaesthesiology,Surgical,MD FRCSC,H001-D09,H001,Staff,0.8,2021-06-23,1,2024-01-01 04:00:00
DR00113,Dr. Betty Anderson,Betty,Anderson,Emergency Medicine,,MD FRCSC,H003-D03,H003,Staff,0.8,2018-09-21,1,2024-01-01 04:00:00
DR00114,Dr. Jin Gonzalez,Jin,Gonzalez,Anaesthesiology,Paediatric,MD FRCPC,H001-D10,H001,Resident,1.0,2016-10-30,1,2024-01-01 04:00:00
DR00115,Dr. Nancy Li,Nancy,Li,Internal Medicine,Paediatric,MD,H001-D03,H001,Resident,0.6,2014-06-16,1,2024-01-01 04:00:00
DR00116,Dr. Diego Lopez,Diego,Lopez,Respirology,,MD,H001-D09,H001,Staff,0.6,2002-12-29,1,2024-01-01 04:00:00
DR00117,Dr. Jin Jackson,Jin,Jackson,Oncology,Interventional,MD FRCSC,H001-D07,H001,Locum,1.0,2005-04-02,1,2024-01-01 04:00:00
DR00118,Dr. Jennifer Robinson,Jennifer,Robinson,Respirology,Paediatric,MD,H002-D09,H002,Locum,0.8,2004-06-18,1,2024-01-01 04:00:00
DR00119,Dr. Mark Lopez,Mark,Lopez,Physiatry,,MD,H001-D05,H001,Staff,0.6,2023-01-04,1,2024-01-01 04:00:00
DR00120,Dr. Jennifer Osei,Jennifer,Osei,General Surgery,Paediatric,MD FRCPC,H001-D02,H001,Staff,1.0,2012-12-20,1,2024-01-01 04:00:00
DR00121,Dr. Omar Ferreira,Omar,Ferreira,Oncology,Paediatric,MD CCFP,H002-D07,H002,Locum,0.8,2016-05-23,1,2024-01-01 04:00:00
DR00122,Dr. Nadia Rossi,Nadia,Rossi,Cardiology,Surgical,MD FRCPC,H002-D01,H002,Resident,1.0,2008-11-13,1,2024-01-01 04:00:00
DR00123,Dr. Amara Park,Amara,Park,Oncology,Surgical,MD CCFP,H003-D07,H003,Staff,0.5,2003-03-28,1,2024-01-01 04:00:00
DR00124,Dr. Hiroshi Li,Hiroshi,Li,General Surgery,,MD FRCPC,H002-D02,H002,Staff,1.0,2013-07-31,1,2024-01-01 04:00:00
DR00125,Dr. Chiara Mensah,Chiara,Mensah,Orthopaedics,Paediatric,MD CCFP,H003-D04,H003,Locum,1.0,2011-04-04,1,2024-01-01 04:00:00
DR00126,Dr. Aisha Nowak,Aisha,Nowak,Oncology,Paediatric,MD FRCPC,H001-D07,H001,Staff,0.5,2013-08-02,1,2024-01-01 04:00:00
DR00127,Dr. Hassan Harris,Hassan,Harris,Paediatrics,,MD,H002-D06,H002,Locum,1.0,2016-04-22,1,2024-01-01 04:00:00
DR00128,Dr. Brian Okafor,Brian,Okafor,General Surgery,,MD FRCPC,H003-D02,H003,Staff,0.5,2022-02-02,1,2024-01-01 04:00:00
DR00129,Dr. Andrew Fraser,Andrew,Fraser,Orthopaedics,Interventional,MD CCFP,H003-D04,H003,Staff,1.0,2019-07-14,1,2024-01-01 04:00:00
DR00130,Dr. Aisha Roy,Aisha,Roy,Emergency Medicine,Surgical,MD FRCPC,H004-D03,H004,Staff,1.0,2006-01-24,1,2024-01-01 04:00:00
DR00131,Dr. Wei Harris,Wei,Harris,Neurology,Interventional,MD CCFP,H001-D08,H001,Resident,0.8,2006-08-07,1,2024-01-01 04:00:00
DR00132,Dr. Jennifer Kim,Jennifer,Kim,Obstetrics,Surgical,MD FRCSC,H002-D05,H002,Staff,1.0,2007-07-28,1,2024-01-01 04:00:00
DR00133,Dr. Ashley Jackson,Ashley,Jackson,Respirology,Paediatric,MD CCFP,H001-D09,H001,Staff,1.0,2012-03-03,1,2024-01-01 04:00:00
DR00134,Dr. Betty Roy,Betty,Roy,Orthopaedics,Interventional,MD FRCPC,H003-D04,H003,Staff,1.0,2010-05-29,1,2024-01-01 04:00:00
DR00135,Dr. Susan Kowalski,Susan,Kowalski,Neurology,Surgical,MD FRCSC,H001-D08,H001,Staff,0.8,2020-05-13,1,2024-01-01 04:00:00
DR00136,Dr. Yuki Silva,Yuki,Silva,Obstetrics,Interventional,MD,H003-D05,H003,Staff,1.0,2007-02-15,1,2024-01-01 04:00:00
DR00137,Dr. Zara Nelson,Zara,Nelson,General Surgery,Surgical,MD,H003-D02,H003,Locum,0.8,2023-02-21,1,2024-01-01 04:00:00
DR00138,Dr. Yusuf Thompson,Yusuf,Thompson,Emergency Medicine,Interventional,MD CCFP,H003-D10,H003,Locum,0.6,2006-07-17,1,2024-01-01 04:00:00
DR00139,Dr. Mohammed Lewis,Mohammed,Lewis,Oncology,Paediatric,MD FRCSC,H003-D07,H003,Staff,1.0,2004-02-08,1,2024-01-01 04:00:00
DR00140,Dr. Chiara Wilson,Chiara,Wilson,Anaesthesiology,,MD,H003-D01,H003,Locum,0.6,2011-11-07,1,2024-01-01 04:00:00
DR00141,Dr. Kenneth Singh,Kenneth,Singh,Emergency Medicine,Paediatric,MD FRCPC,H003-D03,H003,Staff,0.8,2003-04-04,1,2024-01-01 04:00:00
DR00142,Dr. Anthony Anderson,Anthony,Anderson,Oncology,Paediatric,MD,H002-D07,H002,Locum,1.0,2022-09-03,1,2024-01-01 04:00:00
DR00143,Dr. Kevin Okafor,Kevin,Okafor,Physiatry,Surgical,MD FRCPC,H004-D03,H004,Staff,0.5,2007-08-11,1,2024-01-01 04:00:00
DR00144,Dr. Aisha Patel,Aisha,Patel,General Surgery,Surgical,MD,H002-D02,H002,Staff,1.0,2016-08-31,1,2024-01-01 04:00:00
DR00145,Dr. Elizabeth King,Elizabeth,King,Internal Medicine,,MD FRCPC,H004-D03,H004,Staff,1.0,2004-06-21,1,2024-01-01 04:00:00
DR00146,Dr. Yusuf Hassan,Yusuf,Hassan,Oncology,Interventional,MD FRCSC,H001-D07,H001,Resident,1.0,2004-11-22,1,2024-01-01 04:00:00
DR00147,Dr. Lisa Ferreira,Lisa,Ferreira,Respirology,Paediatric,MD FRCSC,H003-D09,H003,Staff,1.0,2023-01-13,1,2024-01-01 04:00:00
DR00148,Dr. Anthony Thomas,Anthony,Thomas,Anaesthesiology,Interventional,MD,H002-D01,H002,Locum,1.0,2009-05-26,1,2024-01-01 04:00:00
DR00149,Dr. Joshua Wang,Joshua,Wang,Anaesthesiology,Paediatric,MD FRCPC,H004-D03,H004,Locum,1.0,2004-09-12,1,2024-01-01 04:00:00
DR00150,Dr. Daniel Smith,Daniel,Smith,Obstetrics,Surgical,MD FRCPC,H003-D05,H003,Staff,1.0,2003-12-17,1,2024-01-01 04:00:00
DR00151,Dr. Margaret Khan,Margaret,Khan,Internal Medicine,Interventional,MD FRCSC,H002-D03,H002,Resident,1.0,2003-08-19,1,2024-01-01 04:00:00
DR00152,Dr. Amanda Carter,Amanda,Carter,Neurology,,MD FRCSC,H002-D08,H002,Staff,1.0,2005-03-30,1,2024-01-01 04:00:00
DR00153,Dr. Mary Green,Mary,Green,Internal Medicine,Surgical,MD FRCPC,H002-D03,H002,Resident,0.6,2011-02-22,1,2024-01-01 04:00:00
DR00154,Dr. Wei Tran,Wei,Tran,Oncology,Surgical,MD FRCPC,H002-D07,H002,Staff,0.8,2003-10-17,1,2024-01-01 04:00:00
DR00155,Dr. Andrew Park,Andrew,Park,Obstetrics,Surgical,MD CCFP,H001-D05,H001,Staff,0.8,2019-01-09,1,2024-01-01 04:00:00
DR00156,Dr. Sandra Osei,Sandra,Osei,Cardiology,Interventional,MD FRCSC,H002-D01,H002,Staff,0.8,2009-05-06,1,2024-01-01 04:00:00
DR00157,Dr. Priya Park,Priya,Park,Obstetrics,Surgical,MD,H003-D05,H003,Staff,1.0,2016-01-13,1,2024-01-01 04:00:00
DR00158,Dr. Mary King,Mary,King,Respirology,Interventional,MD CCFP,H003-D09,H003,Locum,0.6,2004-08-28,1,2024-01-01 04:00:00
DR00159,Dr. Linda Anderson,Linda,Anderson,Neurology,Surgical,MD CCFP,H001-D08,H001,Staff,1.0,2021-06-16,1,2024-01-01 04:00:00
DR00160,Dr. Amir Murphy,Amir,Murphy,General Surgery,Interventional,MD,H003-D02,H003,Staff,1.0,2013-02-04,1,2024-01-01 04:00:00
DR00161,Dr. Nadia Lopez,Nadia,Lopez,Paediatrics,,MD,H001-D06,H001,Staff,0.5,2017-09-13,1,2024-01-01 04:00:00
DR00162,Dr. Aisha Ali,Aisha,Ali,Paediatrics,Interventional,MD,H003-D06,H003,Staff,0.8,2013-11-03,1,2024-01-01 04:00:00
DR00163,Dr. Sarah Lewis,Sarah,Lewis,Paediatrics,,MD FRCPC,H003-D06,H003,Staff,0.5,2015-10-13,1,2024-01-01 04:00:00
DR00164,Dr. Chiara Clark,Chiara,Clark,Obstetrics,Surgical,MD FRCPC,H001-D05,H001,Staff,0.8,2005-11-11,1,2024-01-01 04:00:00
DR00165,Dr. Ashley Taylor,Ashley,Taylor,Oncology,Paediatric,MD FRCSC,H003-D07,H003,Resident,0.5,2022-04-28,1,2024-01-01 04:00:00
DR00166,Dr. Nancy Clark,Nancy,Clark,Emergency Medicine,Surgical,MD CCFP,H001-D07,H001,Resident,1.0,2023-04-19,1,2024-01-01 04:00:00
DR00167,Dr. Margaret Kumar,Margaret,Kumar,Cardiology,Surgical,MD FRCPC,H003-D01,H003,Staff,0.6,2013-10-22,1,2024-01-01 04:00:00
