true_person_id,given_name,family_name,birth_date,sex,hcn,postal_code,source_record_count,source_ids
TRUE0000191,Mary,Moore,1997-12-31,F,5422495647,M1L8A0,3,EHR:MRN37414330|SCHED:SCH81415989|FIN:ACC22679521
TRUE0000192,Mohammed,Hassan,1982-01-18,M,9248020001,M9C7S7,3,EHR:MRN96112475|SCHED:SCH23675851|FIN:ACC96195532
TRUE0000193,George,White,2013-01-23,M,1249866185,M2J6R0,3,EHR:MRN68958906|SCHED:SCH98872158|FIN:ACC16162932
TRUE0000194,Wei,Ali,2025-11-18,M,3828716534,L6M9P0,3,EHR:MRN59826121|SCHED:SCH34735521|FIN:ACC74678797
TRUE0000195,Tomas,Mensah,1965-07-26,M,4338845573,L5A8W3,2,EHR:MRN83899378|SCHED:SCH70268193
TRUE0000196,Wei,Williams,1983-01-27,M,1358277760,L6G8L8,2,EHR:MRN64106511|SCHED:SCH89389768
TRUE0000197,Zara,MacDonald,1975-10-18,F,8252024990,M2R0L1,3,EHR:MRN88872942|SCHED:SCH40914338|FIN:ACC68976894
TRUE0000198,Mary,Allen,1958-11-13,F,0509275467,M5P2H1,3,EHR:MRN47241510|EHR:MRN39212368|SCHED:SCH42019662
TRUE0000199,Jean,Jackson,1989-03-08,M,1488469956,L5C8R4,3,EHR:MRN68616682|SCHED:SCH27851846|FIN:ACC10195923
TRUE0000200,Steven,White,1956-10-26,M,4820156422,L6A2Z0,2,EHR:MRN24826732|SCHED:SCH20876680
TRUE0000201,Amanda,Santos,2025-05-23,F,8347341524,M4J9R1,2,EHR:MRN21754656|SCHED:SCH23146992
TRUE0000202,Margaret,MacDonald,1984-07-16,F,4612188500,M5P1V5,3,EHR:MRN83955438|SCHED:SCH90974667|FIN:ACC77774113
TRUE0000203,Nadia,Gagnon,1969-10-24,F,3424930968,M5A7Z1,3,EHR:MRN60218881|SCHED:SCH83343108|FIN:ACC51967658
TRUE0000204,Raj,Anderson,1942-02-25,M,5690348551,M5K5E3,1,EHR:MRN16479749
TRUE0000205,Pedro,Li,1963-11-24,M,5636567058,M1G7X7,2,EHR:MRN62973078|SCHED:SCH94266253
